tconst,parentTconst,Season Number,Episode Number,TV-show,Episode Title,Season start year,endYear,channel,IMDB Rating,Number of votes,episodeID
tt3866650,tt3032476,1,6,Better Call Saul,Five-O,2015,\N,AMC,9.5,10595
tt3876380,tt3032476,1,5,Better Call Saul,Alpine Shepherd Boy,2015,\N,AMC,8.3,6352
tt3884286,tt3032476,1,7,Better Call Saul,Bingo,2015,\N,AMC,8.9,5949
tt3895284,tt3032476,1,8,Better Call Saul,RICO,2015,\N,AMC,8.9,5812
tt3895286,tt3032476,1,9,Better Call Saul,Pimento,2015,\N,AMC,9.5,7863
tt3895288,tt3032476,1,10,Better Call Saul,Marco,2015,\N,AMC,8.8,6264
tt4462674,tt3032476,2,2,Better Call Saul,Cobbler,2016,\N,AMC,8.7,4257
tt4462676,tt3032476,2,3,Better Call Saul,Amarillo,2016,\N,AMC,8.5,3947
tt4462678,tt3032476,2,4,Better Call Saul,Gloves Off,2016,\N,AMC,9.1,4311
tt4462680,tt3032476,2,6,Better Call Saul,Bali Ha'i,2016,\N,AMC,8.6,3723
tt4462682,tt3032476,2,5,Better Call Saul,Rebecca,2016,\N,AMC,8.2,3826
tt4462684,tt3032476,2,7,Better Call Saul,Inflatable,2016,\N,AMC,8.6,3681
tt4462686,tt3032476,2,8,Better Call Saul,Fifi,2016,\N,AMC,8.6,3656
tt4462688,tt3032476,2,9,Better Call Saul,Nailed,2016,\N,AMC,9.4,5014
tt4462690,tt3032476,2,10,Better Call Saul,Klick,2016,\N,AMC,9.1,4367
tt5554490,tt3032476,3,1,Better Call Saul,Mabel,2017,\N,AMC,8.3,4305
tt5570804,tt3032476,3,10,Better Call Saul,Lantern,2017,\N,AMC,9.2,4310
tt5579594,tt3032476,3,2,Better Call Saul,Witness,2017,\N,AMC,9.1,4276
tt5719532,tt3032476,3,3,Better Call Saul,Sunk Costs,2017,\N,AMC,8.6,3608
tt5719534,tt3032476,3,4,Better Call Saul,Sabrosito,2017,\N,AMC,9.1,3969
tt5719536,tt3032476,3,5,Better Call Saul,Chicanery,2017,\N,AMC,9.7,8326
tt5719540,tt3032476,3,6,Better Call Saul,Off Brand,2017,\N,AMC,8.7,3565
tt5719542,tt3032476,3,7,Better Call Saul,Expenses,2017,\N,AMC,8.5,3323
tt5719544,tt3032476,3,9,Better Call Saul,Fall,2017,\N,AMC,9.0,3477
tt5719546,tt3032476,3,8,Better Call Saul,Slip,2017,\N,AMC,8.7,3254
tt7073996,tt3032476,4,1,Better Call Saul,Smoke,2018,\N,AMC,8.4,3281
tt7073998,tt3032476,4,2,Better Call Saul,Breathe,2018,\N,AMC,8.9,3158
tt7074002,tt3032476,4,3,Better Call Saul,Something Beautiful,2018,\N,AMC,8.7,2740
tt7074006,tt3032476,4,4,Better Call Saul,Talk,2018,\N,AMC,8.4,2577
tt7074010,tt3032476,4,5,Better Call Saul,Quite a Ride,2018,\N,AMC,8.8,2664
tt7074012,tt3032476,4,6,Better Call Saul,Piñata,2018,\N,AMC,8.7,2483
tt7074020,tt3032476,4,7,Better Call Saul,Something Stupid,2018,\N,AMC,8.6,2384
tt7074022,tt3032476,4,8,Better Call Saul,Coushatta,2018,\N,AMC,9.0,2556
tt7074030,tt3032476,4,10,Better Call Saul,Winner,2018,\N,AMC,9.6,3981
tt7074032,tt3032476,4,9,Better Call Saul,Wiedersehen,2018,\N,AMC,9.2,2621
tt2037266,tt1699748,1,10,Hell on Wheels,God of Chaos,2012,\N,AMC,8.6,543
tt2037267,tt1699748,1,2,Hell on Wheels,Immoral Mathematics,2011,\N,AMC,8.2,696
tt2037268,tt1699748,1,3,Hell on Wheels,A New Birth of Freedom,2011,\N,AMC,7.9,618
tt2037269,tt1699748,1,4,Hell on Wheels,Jamais je ne t'oublierai,2011,\N,AMC,7.9,586
tt2037270,tt1699748,1,5,Hell on Wheels,Bread and Circuses,2011,\N,AMC,8.0,579
tt2037271,tt1699748,1,6,Hell on Wheels,"Pride, Pomp and Circumstance",2011,\N,AMC,7.9,542
tt2037272,tt1699748,1,7,Hell on Wheels,Revelations,2011,\N,AMC,8.7,578
tt2037273,tt1699748,1,8,Hell on Wheels,Derailed,2012,\N,AMC,8.4,541
tt2037274,tt1699748,1,9,Hell on Wheels,Timshel,2012,\N,AMC,8.6,535
tt2037275,tt1699748,1,1,Hell on Wheels,Pilot,2011,\N,AMC,8.1,963
tt2159349,tt1699748,2,1,Hell on Wheels,Viva La Mexico,2012,\N,AMC,8.5,429
tt2283732,tt1699748,2,2,Hell on Wheels,"Durant, Nebraska",2012,\N,AMC,8.4,453
tt2283734,tt1699748,2,3,Hell on Wheels,Slaughterhouse,2012,\N,AMC,8.4,449
tt2283736,tt1699748,2,4,Hell on Wheels,Scabs,2012,\N,AMC,8.3,430
tt2302814,tt1699748,2,6,Hell on Wheels,Purged Away with Blood,2012,\N,AMC,8.6,443
tt2313198,tt1699748,2,5,Hell on Wheels,The Railroad Job,2012,\N,AMC,8.8,479
tt2385348,tt1699748,2,7,Hell on Wheels,The White Spirit,2012,\N,AMC,8.3,421
tt2385350,tt1699748,2,8,Hell on Wheels,The Lord's Day,2012,\N,AMC,8.4,428
tt2400638,tt1699748,2,9,Hell on Wheels,Blood Moon,2012,\N,AMC,8.7,434
tt2400640,tt1699748,2,10,Hell on Wheels,Blood Moon Rising,2012,\N,AMC,9.0,552
tt2579572,tt1699748,3,1,Hell on Wheels,Big Bad Wolf,2013,\N,AMC,8.5,515
tt2913534,tt1699748,3,2,Hell on Wheels,Eminent Domain,2013,\N,AMC,8.7,450
tt2943886,tt1699748,3,3,Hell on Wheels,Range War,2013,\N,AMC,8.4,380
tt3060798,tt1699748,3,4,Hell on Wheels,The Game,2013,\N,AMC,8.3,376
tt3060838,tt1699748,3,6,Hell on Wheels,One Less Mule,2013,\N,AMC,8.8,417
tt3060840,tt1699748,3,5,Hell on Wheels,Searchers,2013,\N,AMC,8.1,374
tt3060866,tt1699748,3,7,Hell on Wheels,Cholera,2013,\N,AMC,8.2,368
tt3060868,tt1699748,3,8,Hell on Wheels,It Happened in Boston,2013,\N,AMC,8.2,361
tt3060870,tt1699748,3,10,Hell on Wheels,Get Behind the Mule,2013,\N,AMC,8.5,443
tt3060920,tt1699748,3,9,Hell on Wheels,Fathers and Sins,2013,\N,AMC,8.8,415
tt3681074,tt1699748,4,1,Hell on Wheels,The Elusive Eden,2014,\N,AMC,8.3,425
tt3729772,tt1699748,4,2,Hell on Wheels,Escape from the Garden,2014,\N,AMC,8.7,400
tt3856370,tt1699748,4,5,Hell on Wheels,Life's a Mystery,2014,\N,AMC,8.7,404
tt3858794,tt1699748,4,3,Hell on Wheels,Chicken Hill,2014,\N,AMC,8.6,382
tt3865254,tt1699748,4,4,Hell on Wheels,Reckoning,2014,\N,AMC,8.3,376
tt3868998,tt1699748,4,7,Hell on Wheels,Elam Ferguson,2014,\N,AMC,9.1,676
tt3905114,tt1699748,4,6,Hell on Wheels,Bear Man,2014,\N,AMC,7.7,498
tt3907594,tt1699748,4,8,Hell on Wheels,Under Color of Law,2014,\N,AMC,8.4,387
tt3909986,tt1699748,4,9,Hell on Wheels,Two Trains,2014,\N,AMC,9.0,425
tt3924260,tt1699748,4,10,Hell on Wheels,Return to Hell,2014,\N,AMC,9.0,487
tt3954426,tt1699748,4,11,Hell on Wheels,Bleeding Kansas,2014,\N,AMC,8.7,394
