tconst,parentTconst,seasonNumber,episodeNumber,TV-show,primaryTitle_y,startYear,endYear,channel,averageRating,numVotes,episodeID
tt4862552,tt2193021,4,18,Arrow,Eleven-Fifty-Nine,2016,\N,CW,7.3,4043,87
tt4862554,tt2193021,4,23,Arrow,Schism,2016,\N,CW,5.7,4719,92
tt4862556,tt2193021,4,21,Arrow,Monument Point,2016,\N,CW,7.2,2623,90
tt4862558,tt2193021,4,22,Arrow,Lost in the Flood,2016,\N,CW,7.2,2608,91
tt5540390,tt2193021,5,1,Arrow,Legacy,2016,\N,CW,8.5,3174,93
tt5584142,tt2193021,5,2,Arrow,The Recruits,2016,\N,CW,8.4,2534,94
tt5584144,tt2193021,5,3,Arrow,A Matter of Trust,2016,\N,CW,8.4,2327,95
tt5584146,tt2193021,5,4,Arrow,Penance,2016,\N,CW,8.3,2195,96
tt5584148,tt2193021,5,5,Arrow,Human Target,2016,\N,CW,8.8,2413,97
tt5584150,tt2193021,5,6,Arrow,So It Begins,2016,\N,CW,8.5,2158,98
tt5584152,tt2193021,5,7,Arrow,Vigilante,2016,\N,CW,8.5,2115,99
tt5584154,tt2193021,5,8,Arrow,Invasion!,2016,\N,CW,9.2,3828,100
tt5584158,tt2193021,5,9,Arrow,What We Leave Behind,2016,\N,CW,9.3,3167,101
tt5584160,tt2193021,5,10,Arrow,Who Are You?,2017,\N,CW,8.0,2236,102
tt5584162,tt2193021,5,11,Arrow,Second Chances,2017,\N,CW,8.3,1988,103
tt5584166,tt2193021,5,23,Arrow,Lian Yu,2017,\N,CW,9.7,6159,115
tt5607494,tt2193021,5,12,Arrow,Bratva,2017,\N,CW,8.3,1887,104
tt5607500,tt2193021,5,13,Arrow,Spectre of the Gun,2017,\N,CW,7.6,2232,105
tt5607504,tt2193021,5,14,Arrow,The Sin-Eater,2017,\N,CW,8.0,1845,106
tt5607508,tt2193021,5,15,Arrow,Fighting Fire with Fire,2017,\N,CW,8.7,2051,107
tt5607510,tt2193021,5,16,Arrow,Checkmate,2017,\N,CW,9.1,2457,108
tt5607512,tt2193021,5,17,Arrow,Kapiushon,2017,\N,CW,9.3,3365,109
tt5607516,tt2193021,5,18,Arrow,Disbanded,2017,\N,CW,8.6,2089,110
tt5607518,tt2193021,5,19,Arrow,Dangerous Liaisons,2017,\N,CW,8.1,1882,111
tt5607522,tt2193021,5,20,Arrow,Underneath,2017,\N,CW,7.8,2470,112
tt5607524,tt2193021,5,21,Arrow,Honor Thy Fathers,2017,\N,CW,8.4,1796,113
tt5607526,tt2193021,5,22,Arrow,Missing,2017,\N,CW,9.2,2444,114
tt6403458,tt2193021,6,1,Arrow,Fallout,2017,\N,CW,8.1,2170,116
tt6493654,tt2193021,6,2,Arrow,Tribute,2017,\N,CW,8.2,1733,117
tt6493656,tt2193021,6,3,Arrow,Next of Kin,2017,\N,CW,8.1,1634,118
tt6493658,tt2193021,6,4,Arrow,Reversal,2017,\N,CW,7.6,1974,119
tt6493662,tt2193021,6,5,Arrow,Deathstroke Returns,2017,\N,CW,8.9,1932,120
tt6493664,tt2193021,6,6,Arrow,Promises Kept,2017,\N,CW,8.6,1621,121
tt6493666,tt2193021,6,7,Arrow,Thanksgiving,2017,\N,CW,8.1,1457,122
tt6493668,tt2193021,6,8,Arrow,"Crisis on Earth-X, Part 2",2017,\N,CW,8.8,2643,123
tt6493670,tt2193021,6,9,Arrow,Irreconcilable Differences,2017,\N,CW,7.5,1706,124
tt6493672,tt2193021,6,10,Arrow,Divided,2018,\N,CW,7.7,1385,125
tt6493676,tt2193021,6,11,Arrow,We Fall,2018,\N,CW,8.0,1332,126
tt6493678,tt2193021,6,12,Arrow,All for Nothing,2018,\N,CW,8.2,1282,127
tt6493680,tt2193021,6,13,Arrow,The Devil's Greatest Trick,2018,\N,CW,8.5,1402,128
tt6493682,tt2193021,6,14,Arrow,Collision Course,2018,\N,CW,7.6,1356,129
tt6493686,tt2193021,6,16,Arrow,The Thanatos Guild,2018,\N,CW,8.2,1295,131
tt6493688,tt2193021,6,15,Arrow,Doppelgänger,2018,\N,CW,8.4,1312,130
tt6493690,tt2193021,6,18,Arrow,Fundamentals,2018,\N,CW,8.9,1645,133
tt6493692,tt2193021,6,17,Arrow,Brothers in Arms,2018,\N,CW,8.1,1344,132
tt6493694,tt2193021,6,19,Arrow,The Dragon,2018,\N,CW,8.2,1493,134
